mapping,ordering,global_masking_rate,entropy,A->C,A->G,A->T,C->A,C->G,C->T,G->A,G->C,G->T,T->A,T->C,T->G
001,0,0.556380,1.940546,0.564063,0.588281,0.575781,0.564063,0.545312,0.560156,0.588281,0.545312,0.504687,0.575781,0.560156,0.504687
001,0_001,0.773958,1.421525,0.960938,0.850781,0.660937,0.960938,0.849219,0.660937,0.850781,0.849219,0.660937,0.660937,0.660937,0.660937
001,0_010,0.628646,1.934916,0.540625,0.640625,0.669531,0.540625,0.682813,0.571094,0.640625,0.682813,0.667188,0.669531,0.571094,0.667188
001,0_011,0.735417,1.594685,0.853906,0.782031,0.670312,0.853906,0.828906,0.651563,0.782031,0.828906,0.625781,0.670312,0.651563,0.625781
001,0_100,0.617057,1.971986,0.507031,0.548438,0.675000,0.507031,0.694531,0.617188,0.548438,0.694531,0.660156,0.675000,0.617188,0.660156
001,0_101,0.653125,1.874075,0.585938,0.698438,0.567187,0.585938,0.690625,0.721875,0.698438,0.690625,0.654687,0.567187,0.721875,0.654687
001,0_110,0.616276,1.977221,0.514062,0.638281,0.701562,0.514062,0.654687,0.528906,0.638281,0.654687,0.660156,0.701562,0.528906,0.660156
001,0_codon,0.615365,1.974555,0.509375,0.666406,0.645312,0.509375,0.601562,0.605469,0.666406,0.601562,0.664062,0.645312,0.605469,0.664062
001,1,0.561849,1.959997,0.521875,0.598437,0.532031,0.521875,0.560937,0.571875,0.598437,0.560937,0.585938,0.532031,0.571875,0.585938
001,10,0.564193,1.961737,0.564844,0.599219,0.553125,0.564844,0.528906,0.560156,0.599219,0.528906,0.578906,0.553125,0.560156,0.578906
001,10_001,0.771354,1.453591,0.849219,0.948438,0.661719,0.849219,0.847656,0.660937,0.948438,0.847656,0.660156,0.661719,0.660937,0.660156
001,10_010,0.645312,1.911660,0.669531,0.714063,0.619531,0.669531,0.607812,0.682031,0.714063,0.607812,0.578906,0.619531,0.682031,0.578906
001,10_011,0.715625,1.639811,0.702344,0.694531,0.628906,0.702344,0.907813,0.683594,0.694531,0.907813,0.676562,0.628906,0.683594,0.676562
001,10_100,0.619271,1.975409,0.552344,0.683594,0.700000,0.552344,0.667188,0.489844,0.683594,0.667188,0.622656,0.700000,0.489844,0.622656
001,10_101,0.686068,1.690597,0.777344,0.721094,0.735156,0.777344,0.698438,0.592187,0.721094,0.698438,0.592187,0.735156,0.592187,0.592187
001,10_110,0.612891,1.977005,0.664844,0.651563,0.642188,0.664844,0.524219,0.692187,0.651563,0.524219,0.502344,0.642188,0.692187,0.502344
001,10_codon,0.618620,1.994147,0.564063,0.722656,0.615625,0.564063,0.517969,0.727344,0.722656,0.517969,0.564063,0.615625,0.727344,0.564063
001,11,0.557552,1.937758,0.510938,0.582812,0.553125,0.510938,0.551562,0.536719,0.582812,0.551562,0.610156,0.553125,0.536719,0.610156
001,11_001,0.775000,1.420127,0.662500,0.850000,0.850000,0.662500,0.662500,0.662500,0.850000,0.662500,0.962500,0.850000,0.662500,0.962500
001,11_010,0.647135,1.890664,0.664062,0.607031,0.706250,0.664062,0.546094,0.642969,0.607031,0.546094,0.716406,0.706250,0.642969,0.716406
001,11_011,0.718099,1.593273,0.634375,0.652344,0.655469,0.634375,0.722656,0.734375,0.652344,0.722656,0.909375,0.655469,0.734375,0.909375
001,11_100,0.622526,1.960842,0.673438,0.507031,0.556250,0.673438,0.618750,0.679688,0.507031,0.618750,0.700000,0.556250,0.679688,0.700000
001,11_101,0.676562,1.778675,0.626563,0.624219,0.728125,0.626563,0.633594,0.691406,0.624219,0.633594,0.755469,0.728125,0.691406,0.755469
001,11_110,0.619401,1.999818,0.574219,0.510156,0.748437,0.574219,0.717969,0.617188,0.510156,0.717969,0.548438,0.748437,0.617188,0.548438
001,11_codon,0.630469,1.904595,0.641406,0.606250,0.624219,0.641406,0.671875,0.581250,0.606250,0.671875,0.657813,0.624219,0.581250,0.657813
001,12,0.567969,1.929647,0.481250,0.639062,0.605469,0.481250,0.514062,0.559375,0.639062,0.514062,0.608594,0.605469,0.559375,0.608594
001,12_001,0.775000,1.420127,0.662500,0.962500,0.850000,0.662500,0.662500,0.662500,0.962500,0.662500,0.850000,0.850000,0.662500,0.850000
001,12_010,0.638932,1.933836,0.671094,0.700000,0.631250,0.671094,0.585156,0.702344,0.700000,0.585156,0.543750,0.631250,0.702344,0.543750
001,12_011,0.748828,1.553195,0.650781,0.898438,0.830469,0.650781,0.639062,0.659375,0.898438,0.639062,0.814844,0.830469,0.659375,0.814844
001,12_100,0.602865,1.993173,0.552344,0.646875,0.594531,0.552344,0.528125,0.709375,0.646875,0.528125,0.585938,0.594531,0.709375,0.585938
001,12_101,0.745573,1.529396,0.627344,0.903125,0.803125,0.627344,0.645312,0.660937,0.903125,0.645312,0.833594,0.803125,0.660937,0.833594
001,12_110,0.612109,1.995979,0.570312,0.742188,0.528125,0.570312,0.573438,0.728125,0.742188,0.573438,0.530469,0.528125,0.728125,0.530469
001,12_codon,0.627995,1.897555,0.621094,0.666406,0.607812,0.621094,0.648438,0.625781,0.666406,0.648438,0.598437,0.607812,0.625781,0.598437
001,13,0.554167,1.979719,0.535156,0.579688,0.582812,0.535156,0.507031,0.528125,0.579688,0.507031,0.592187,0.582812,0.528125,0.592187
001,13_001,0.775000,1.420127,0.662500,0.962500,0.850000,0.662500,0.662500,0.662500,0.962500,0.662500,0.850000,0.850000,0.662500,0.850000
001,13_010,0.639323,1.954179,0.671094,0.582031,0.692969,0.671094,0.690625,0.650781,0.582031,0.690625,0.548438,0.692969,0.650781,0.548438
001,13_011,0.694531,1.753896,0.646875,0.749219,0.708594,0.646875,0.629687,0.725000,0.749219,0.629687,0.707812,0.708594,0.725000,0.707812
001,13_100,0.611979,1.991684,0.575000,0.528906,0.665625,0.575000,0.711719,0.617188,0.528906,0.711719,0.573438,0.665625,0.617188,0.573438
001,13_101,0.664193,1.842910,0.542969,0.660937,0.632812,0.542969,0.675781,0.717969,0.660937,0.675781,0.754687,0.632812,0.717969,0.754687
001,13_110,0.610547,1.986353,0.623437,0.503906,0.604688,0.623437,0.642969,0.650781,0.503906,0.642969,0.637500,0.604688,0.650781,0.637500
001,13_codon,0.613021,1.961907,0.692187,0.586719,0.527344,0.692187,0.646094,0.573438,0.586719,0.646094,0.652344,0.527344,0.573438,0.652344
001,14,0.549089,1.982807,0.559375,0.544531,0.491406,0.559375,0.566406,0.561719,0.544531,0.566406,0.571094,0.491406,0.561719,0.571094
001,14_001,0.775000,1.420127,0.850000,0.850000,0.662500,0.850000,0.962500,0.662500,0.850000,0.962500,0.662500,0.662500,0.662500,0.662500
001,14_010,0.659766,1.862519,0.635156,0.580469,0.704688,0.635156,0.724219,0.682031,0.580469,0.724219,0.632031,0.704688,0.682031,0.632031
001,14_011,0.714844,1.658353,0.697656,0.687500,0.640625,0.697656,0.890625,0.692969,0.687500,0.890625,0.679688,0.640625,0.692969,0.679688
001,14_100,0.612760,1.977798,0.549219,0.497656,0.664844,0.549219,0.699219,0.664844,0.497656,0.699219,0.600781,0.664844,0.664844,0.600781
001,14_101,0.751172,1.523256,0.926562,0.832031,0.628125,0.926562,0.841406,0.635938,0.832031,0.841406,0.642969,0.628125,0.635938,0.642969
001,14_110,0.591406,1.993861,0.537500,0.556250,0.628125,0.537500,0.612500,0.565625,0.556250,0.612500,0.648438,0.628125,0.565625,0.648438
001,14_codon,0.622005,1.974237,0.520312,0.709375,0.620313,0.520312,0.554688,0.683594,0.709375,0.554688,0.643750,0.620313,0.683594,0.643750
001,15,0.571615,1.965754,0.612500,0.557813,0.565625,0.612500,0.585156,0.564063,0.557813,0.585156,0.544531,0.565625,0.564063,0.544531
001,15_001,0.765365,1.475856,0.842969,0.940625,0.657031,0.842969,0.838281,0.660937,0.940625,0.838281,0.652344,0.657031,0.660937,0.652344
001,15_010,0.642188,1.904376,0.710938,0.652344,0.631250,0.710938,0.612500,0.555469,0.652344,0.612500,0.690625,0.631250,0.555469,0.690625
001,15_011,0.700911,1.724632,0.731250,0.714063,0.617188,0.731250,0.762500,0.685156,0.714063,0.762500,0.695312,0.617188,0.685156,0.695312
001,15_100,0.612109,1.976742,0.621875,0.671094,0.669531,0.621875,0.485938,0.682813,0.671094,0.485938,0.541406,0.669531,0.682813,0.541406
001,15_101,0.705599,1.720306,0.806250,0.740625,0.708594,0.806250,0.726562,0.656250,0.740625,0.726562,0.595313,0.708594,0.656250,0.595313
001,15_110,0.613151,1.990784,0.634375,0.646875,0.657813,0.634375,0.499219,0.708594,0.646875,0.499219,0.532031,0.657813,0.708594,0.532031
001,15_codon,0.626563,1.965156,0.554688,0.707031,0.678906,0.554688,0.517969,0.667969,0.707031,0.517969,0.632812,0.678906,0.667969,0.632812
001,16,0.544531,1.989645,0.516406,0.535937,0.580469,0.516406,0.565625,0.522656,0.535937,0.565625,0.546094,0.580469,0.522656,0.546094
001,16_001,0.775000,1.420127,0.662500,0.662500,0.662500,0.662500,0.962500,0.850000,0.662500,0.962500,0.850000,0.662500,0.850000,0.850000
001,16_010,0.651302,1.887501,0.691406,0.582812,0.609375,0.691406,0.636719,0.658594,0.582812,0.636719,0.728906,0.609375,0.658594,0.728906
